test,cost
new_cost: ,926
new_cost: ,330
new_cost: ,330
new_cost: ,328
new_cost: ,328
new_cost: ,328
new_cost: ,30
new_cost: ,28
new_cost: ,28
new_cost: ,28
new_cost: ,28
new_cost: ,28
new_cost: ,28
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,26
new_cost: ,24
new_cost: ,24
new_cost: ,24
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
new_cost: ,22
